psgc_code,correspondence_code,name,level,region,province,city_municipality
0603021031,063021031,Passi,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021032,063021032,Pinaopawan,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021033,063021033,Barangay 1 Poblacion,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021034,063021034,Barangay 2 Poblacion,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021035,063021035,Barangay 3 Poblacion,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021036,063021036,Barangay 4 Poblacion,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021037,063021037,Barangay 5 Poblacion,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021038,063021038,Barangay 6 Poblacion,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021039,063021039,Riro-an,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021040,063021040,San Ambrosio,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021041,063021041,Santa Barbara,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021042,063021042,Signe,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021043,063021043,Tabiac,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021044,063021044,Talayatay,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021045,063021045,Taytay,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0603021046,063021046,Tigbanaba,Bgy,Region VI (Western Visayas),Iloilo,Igbaras
0631000000,063022000,City of Iloilo,City,Region VI (Western Visayas),Iloilo,
0631000001,063022001,Santa Cruz,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000003,063022003,Aguinaldo,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000004,063022004,Airport,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000005,063022005,Alalasan Lapuz,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000006,063022006,Arguelles,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000007,063022007,Arsenal Aduana,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000008,063022008,North Avanceña,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000009,063022009,Bakhaw,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
