Flooded Areas within Pasig City 2020,,,,
95,Sagad,E. Angeles St.,"Sagad Elementary
School",2-3 inches
96,Palatiw,E. Santos St.,intersection,2-3 inches
97,Bambang,E. Jacinto St.,,1 inch
98,San Nicolas,Caruncho Ave.,infront of City Hall,2-3 inches
99,San Miguel,Mercedes Ave.,corner Market Ave.,2-3 inches
100,Bambang,F. Manalo St.,"along Iglesia to St.
Gerard",2-3 inches
101,San Nicolas,Caruncho Ave.,747,3-5 inches
102,Sumilang,Dos De Julio St.,infront of Brgy. Hall,4-5 inches
103,Manggahan,Pres. Quezon St.,corner Peras St.,2-5 inches
104,Ugong,F. Legaspi St.,,2-3 inches
105,Pinagbuhatan,Sandoval Ave.,SRS,1-2 inches
106,Pinagbuhatan,Sandoval Ave.,,2-3 inches
107,Pinagbuhatan,Sandoval Ave.,,
108,Manggahan,Taniman Ave.,,
109,San Antonio,Meralco Ave.,,
110,Manggahan,Peras St.,"corner Pres. Quezon
St.",2-3 inches
112,Sta. Lucia,Champaca St.,"likod ng De Castro
Elementary School",3-4 inches
113,Sta. Lucia,Morales,,5 inches
114,Dela Paz,Camayanan St.,,1-2 inches
,,Kalusugan St.,,22 inches
,,Kabutihan St.,creek side,12 inches
115,Rosario,Dabba Compound,Bathaluman St.,19 inches
117,Kalawaan,Axis Road,,2-3 inches
119,Manggahan,Sampaguita St.,,
120,Sta. Lucia,Bagong Anyo St.,,5 inches
121,Maybunga,"Dr. Sixto Antonio
Ave.",#432,8-9 inches
122,Sta. Lucia,"Morales
Compound",,2-3 inches
123,Sta. Lucia,Metropolis,"Metropolis Kanan
Metropolis Gate
Burmingham St.",12 inches
124,San Miguel,Market Ave.,Sacred Heart,12 inches
125,Kapasigan,"Dr. Sixto Antonio
Ave.",corner Dr. Pilapil St.,3-4 inches
126,Bagong Ilog,Pasig Boulevard,infront of RMC,4-6 inches
127,San Miguel,Market Ave.,Sacred Heart,4-6 inches
128,Pinagbuhatan,Sandoval Ave.,"near SRS
Supermarket",3-5 inches
129,San Miguel,Teachers Village,,3-4 inches
130,Santolan,"Amang Rodriguez
Ave.",Ilaya,
131,Malinao,G. Raymundo,,2-3 inches
132,Palatiw,F. Soriano St.,,
133,Manggahan,Karangalan Village,Karikitan St.,2-3 inches
134,Maybunga,F. Legaspi St.,infront of Parkwood,2-3 inches
135,Rosario,Jenny's Ave.,Greenland,3 inches
136,Pinagbuhatan,"Urbano Velasco
Ave.",corner Jasmin,
137,Manggahan,PSP Metroville,,8-10 inches
138,Manggahan,St. Mary St.,,6-8 inches
139,Pinagbuhatan,"Urbano Velasco
Ave.","Arko ng
Pinagbuhatan",2-3 inches
140,Sumilang,Magtanggol St.,,
141,Manggahan,Pres. Quezon St.,corner Peras St.,3-4 inches
142,Pinagbuhatan,Sandoval Ave.,,3-4 inches
143,San Miguel,M. Eusebio Ave.,,10-12 inches
144,Maybunga,Market Ave.,corner F. Legaspi St.,10-12 inches
145,Buting,G. Bunye St.,corner A. Flores St.,2-3 inches
,,,,
Flooded Areas within Pasig City 2023,,,,
No.,Barangay,Street,Landmark,Water Level (Estimated)
1,Malinao,"Urbano Velasco
Ave.",corner Market Ave.,1-2 inches
2,Manggahan,M.L. Quezon St.,,3-4 inches
3,Bagong Ilog,M. Flores St.,URC,
4,Oranbo,Henry Javier St.,corner Meralco Ave.,
5,Buting,G. Conching St.,,3-4 inches
6,Sto. Tomas,Villa San Juan,,2-3 inches
7,Pineda,F. Banaag St.,"infront of Pineda
Elem. School",12 inches
8,San Miguel,Mercedes Ave.,"going C. Raymundo
Ave.",2-4 inches
9,Bagong Ilog,Pasig Boulevard,Mejia St.,2-3 inches
10,Malinao,Farmers St.,near NOVO,2-3 inches
11,Malinao,Market Ave.,infront of Jolibee,3-4 inches
12,Palatiw,F. Soriano St.,likod ng Lianas,3-5 inches
13,Kalawaan,Elisco Road,corner Visitacion St.,5-7 inches
14,Malinao,"Urbano Velasco
Ave.",FCM,3-4 inches
15,Bambang,F. Manalo St.,corner J. Pueblo St.,4-6 inches
16,Pinagbuhatan,Nagpayong II,Block 19,2-3 inches
17,San Nicolas,Caruncho Ave.,"Vicinity of Pasig City
Hall",2-4 inches
18,Palatiw,Market Ave.,corner E. Santos St.,3-5 inches
19,Bagong Ilog,Kawilihan Village,"Kagandahan St. and
Kabutihan St.",3-6 inches
20,Palatiw,Caruncho Ave.,PCP,3-4 inches
21,Sta. Cruz,Capt. Ato St.,Purok 5 and 6,10 inches
22,Pinagbuhatan,R. Cruz St.,"corner Urbano
Velasco",12 inches
23,Bagong Ilog,F. Intalan St.,,36 inches
24,Bagong Ilog,San Roque St.,,36 inches
25,Bagong Ilog,Victorino St.,,36 inches
26,Bagong Ilog,Santiago St.,,36 inches
27,Bagong Ilog,Ikong St.,,36 inches
28,Bagong Ilog,M. Flores St.,,36 inches
29,Bambang,Pio Alvarez St.,,3-6 inches
30,Sumilang,Kalayaan St.,,4-6 inches
31,Sta. Cruz,Capt. Ato St.,,4-6 inches
32,Palatiw,"Caruncho
Compound",Jocson Ville,4-5 inches
33,San Miguel,M. Eusebio Ave.,PCP Substation,4-6 inches
34,Kapasigan,Dr. Pilapil St.,"corner Dr. Sixto
Antonio Ave.",2-3 inches
35,San Joaquin,Elisco Road,infront of Meralco,2-3 inches
36,Palatiw,Caruncho Ave.,Near Phantom Base,2-3 inches
37,Pinagbuhatan,"Urbano Velasco
Ave.",corner San Agustin,3 inches
38,Manggahan,M.L. Quezon St.,,3-5 inches
39,Manggahan,Karangalan,San Lorenzo Elem.,4-5 inches
40,Pineda,F. Banaag St.,Pineda Elem.,18-29 inches
41,Malinao,"Urbano Velasco
Ave.",,3-4 inches
42,Pineda,F. Banaag St.,Pineda Elem.,
43,Caniogan,C. Raymundo Ave.,"corner Mercedez
Ave.",5-6 inches
44,San Joaquin,Elisco Road,infront of Meralco,7-8 inches
45,Bagong Ilog,M. Flores St.,Talipapa,4-5 inches
46,Kapitolyo,Shaw Blvd.,corner Capitol Circle,4-5 inches
47,Kapitolyo,Shaw Blvd.,corener Pioneer St.,4-5 inches
48,San Miguel,M. Eusebio Ave.,,1 foot
49,Oranbo,St. Francis,,3-5 inches
50,Oranbo,St. Joseph,,
51,San Miguel,Market Ave.,"corenr Mercedez
Ave.",
52,Bagong Ilog,Dr. M. Flores St.,,1-2 inches
53,Sta. Cruz,Riverside,Soldiers Village,15-20 inches
54,San Miguel,Market Ave.,Chinese School,2-4 inches
55,Pinagbuhatan,Sandoval Ave.,Sta. Rita Homes,3 inches
56,Sta. Lucia,Champaca St.,,4-5 inches
57,San Nicolas,Market Ave.,infront of Jolibee,4-5 inches
58,Kapasigan,A. Mabini St.,"infront of Security
Bank",2-3 inches
59,Malinao,"Urbano Velasco
Ave.","Mutya ng Pasig Mega
Market",
60,Kapitolyo,West Capitol Drive,,2-4 inches
61,Palatiw,San Agustin Ave.,,2-4 inches
62,Malinao,G. Raymundo St.,,3-4 inches
63,Palatiw,E. Santos St.,,3-4 inches
64,Palatiw,N. Cruz St.,,3-4 inches
65,Pinagbuhatan,Ilugin,,8-10 inches
66,Bagong Ilog,C5 Road,corner Pasig Blvd.,3-4 inches
67,San Nicolas,Market Ave.,San Mateo Bank,2-3 inches
68,Kapitolyo,Shaw Blvd.,corner Pioneer St.,4 inches
69,San Miguel,Mercedes Ave.,corner Market Ave.,4-5 inches
70,San Miguel,Market Ave.,Chinese School,4-5 inches
71,San Joaquin,Elisco Road,Meralco,7-8 inches
72,Pinagbuhatan,Sandoval Ave.,"Greenwoods
Entrance",4-5 inches
73,San Miguel,Sandoval Ave.,Sandoval Divimart,4-5 inches
74,Palatiw,F. Soriano St.,likod ng Lianas,4-5 inches
75,Pinagbuhatan,Molave Compound,,3-5 inches
76,San Miguel,Mercedes Ave.,"going C. Raymundo
Ave.",3-4 inches
77,Caniogan,Pag-asa St.,,3-4 inches
78,Pinagbuhatan,Villa Cuana,,2-3 inches
79,San Miguel,Mercedes Ave.,,3-5 inches
80,Caniogan,C. Raymundo Ave.,Toby's,2-4 inches
81,Rosario,Ortigas Ext.,,2-3 inches
82,San Joaquin,Elisco Road,Meralco,4-5 inches
83,San Nicolas,Market Ave.,"halamanan and San
Mateo Bank",3-4 inches
84,Bagong Ilog,C5 Road,Service Road,3-4 inches
85,San Nicolas,Caruncho Ave.,"infront of EastWest
Bank",2-3 inches
86,Bagong Ilog,Pasig Boulevard,Talipapa,4-5 inches
87,San Miguel,Sandoval Ave.,Divimart,4-5 inches
88,San Miguel,Mercedes Ave.,infront of Yamaha,3-4 inches
89,San Joaquin,Elisco Road,Meralco,4-5 inches
90,San Miguel,M. Eusebio Ave.,Villa Eusebio,4-5 inches
91,Pinagbuhatan,Kenneth Road,Block 19,1-3 inches
92,San Miguel,Mercedes Ave.,Charitos,4-5 inches
93,Pinagbuhatan,Sandoval Ave.,Greenwoods Entrance,3-4 inches
94,Pineda,Sta. Monica St.,Multipurpose Hall,2-3 inches
95,San Nicolas,Caruncho Ave.,Revolving Tower,3-4 inches
96,San Miguel,Mercedes Ave.,Robinsons,2-3 inches
97,Caniogan,C. Raymundo Ave.,Mcdo,2-3 inches
98,Manggahan,Magsaysay St.,MLQ,2-3 inches
99,Manggahan,Napico,Peras St.,
100,Manggahan,Napico,Sitaw St.,
101,Manggahan,Soliven St.,,3 inches
102,Dela Paz,F. Mariano,Katapatan St.,12 inches
103,Dela Paz,Karangalan Village,Kalakasan St.,8-12 inches
104,Maybunga,F. Legaspi St.,Market,3-5 inches
105,Dela Paz,Kabutihan St.,,3-5 inches
106,San Joaquin,Elisco Road,Meralco,
107,San Joaquin,Elisco Road,Meralco,2-3 inches
108,Palatiw,Caruncho Ave.,Mang Inasal,2-3 inches
109,San Nicolas,Market Ave.,MPMM,2-3 inches
110,San Nicolas,Caruncho Ave.,infront of City Hall,9-10 inches
111,San Nicolas,Caruncho Ave.,Mang Inasal,2-3 inches
112,Palatiw,San Agustin Ave.,Angel's Burger,2-3 inches
113,San Nicolas,Caruncho Ave.,Sports Complex,2-3 inches
114,Malinao,"Urbano Velasco
Ave.",,2-3 inches
115,San Miguel,Mercedes Ave.,Petron,2-4 inches
116,San Jose,Plaza Rizal,,2-3 inches
117,San Miguel,Asuncion St.,,2-3 inches
118,San Miguel,Victori Road,,4-5 inches
119,San Miguel,Sandoval Ave.,Tambakan,4-5 inches
120,Pinagbuhatan,Kenneth Road,Block 19,2-7 inches
121,Kapitolyo,United St.,corner Sheridan St.,4-5 inches
122,San Miguel,M. Eusebio Ave.,PCGH,4-7 inches
,,,,
Flooded Areas within Pasig City 2024,,,,
No.,Barangay,Street,Landmark,Water Level (Estimated)
1,Oranbo,Henry Javier St.,Corner Meralco Ave.,2-3 inches
2,Dela Paz,Karangalan,Phase 2A,2-3 inches
3,Palatiw,E. Santos St.,,2-3 inches
4,Pinagbuhatan,"Urbano Velasco
Ave.",,3-4 inches
5,Palatiw,F. Soriano St.,Lianas,3 inches
6,Dela Paz,Karangalan Village,,4-5 inches
7,San Miguel,M. Eusebio Ave.,,5-6 inches
8,Maybunga,F. Legaspi St.,,3 inches
9,Kalawaan,Elisco Road,,3-4 inches
10,Kalawaan,Paulino St.,,2-3 inches
11,Bambang,Villa Alfonso,corner Villa Antonio,1 foot
12,San Nicolas,Market Ave.,corner Urbano Velasco,5 inches
13,Ugong,C5 Road,corner Canley Road,3-4 inches
14,Kalawaan,P. Tuazon St.,PCIST,2-3 inches
15,Bagong Ilog,C5 Road,Mejia St.,3-4 inches
16,San Miguel,Asuncsion St.,to Maxville,3-4 inches
17,Bagong Ilog,C5 Road,Talipapa,3-4 inches
18,Rosario,Ortigas Ext.,Burger King,3-4 inches
19,San Nicolas,Caruncho Ave.,Infront of City Hall,4-5 inches
20,Pinagbuhatan,Molave St.,City Jail,10-12 inches
21,Sto. Tomas,F. Manalo St.,corner E. Santos,3-4 inches
22,Caniogan,A. Flores St.,,13 inches
23,Rosario,C. Raymundo Ave.,Corner Bernal St.,4 inches
24,Manggahan,Greenpark,,10 inches
25,Pineda,F. Banaag St.,Pineda Elem. School,12-15 inches
26,Maybunga,M. Eusebio Ave.,,12-15 inches
27,Pinagbuhatan,Bolante 1,,12 inches
28,Bambang,Pio Alvarez St.,,4 inches
29,Bambang,E. Jacinto St.,,3-5 inches
30,Pinagbuhatan,"Urbano Velasco
Ave.",Damayan Court,12 inches
31,Pinagbuhatan,Molave St.,,5 inches
32,Pinagbuhatan,Ilugin,,5 inches
33,Pinagbuhatan,M.C. Guinto St.,,5 inches
34,Pinagbuhatan,Jasmin St.,,5 inches
35,Pinagbuhatan,Sandoval Ave.,Arrezo,5 inches
36,Palatiw,E. Santos St.,,5 inches
37,Sagad,E. Angeles St.,C. Raymundo,2-3 inches
38,Rosario,Greenland,Saturn St.,5 inches
39,Rosario,Ortigas Ext.,corner Tramo,12 inches
40,Sta. Lucia,Champaca St.,,12 inches
41,San Miguel,Mercedes Ave.,corner C. Raymundo,12 inches
42,Ugong,C5 Road,,15 inches
43,Dela Paz,Aguho St.,,3 inches
44,Manggahan,Kaimito St.,,9-10 inches
45,Pinagbuhatan,Kenneth Road,,9-10 inches
46,Santolan,Matahimik St.,,5 inches
47,Sta. Cruz,Capt. Ato St.,,7 inches
48,Pinagbuhatan,"Urbano Velasco
Ave.",Royal Villas,10 inches
49,San Miguel,Teachers Village,,6 inches
50,Santolan,Amang Rodriguez,,8 inches
51,Bagong Ilog,L. Intalan St.,,6-7 inches
52,Rosario,Dabba,Paraluman St.,4 feet
53,Manggahan,Soliven Ave.,Greenpark,2-3 feet
54,Sta. Lucia,De Castro St.,,12-15 inches
55,Sta. Lucia,Metrogreen,,5 inches
56,Sta. Lucia,"Morales
Compound",,5 inches
57,Sta. Lucia,Maxville XI,,5 inches
58,Sta. Lucia,Tawi-Tawi St.,,18 inches
59,Rosario,Ortigas Ext.,Rosario Church,5-8 inches
60,Rosario,Ortigas Ext.,"going to Riverside
Sta. Lucia",5-8 inches
61,Bagong Ilog,Sgt. Pascua St.,Tawiran,2-3 inches
62,San Miguel,Maxville 6 and 7,,12-14 inches
63,Bambang,F. Manalo St.,,2-3 inches
64,Dela Paz,Imelda Ave.,Karangalan,4 feet
65,San Miguel,Sandoval Ave.,Divi Mart,
66,Sto. Tomas,M.H. Del Pilar St.,"Tomasito Motor
Parts",3-4 inches
67,Manggahan,Kapitagan St.,"San Lorenzo Elem.
School",1 foot
68,Palatiw,N. Cruz,,5 inches
69,San Miguel,Dr. Pilapil St.,,2-4 inches
70,Rosario,Ortigas Ext.,St. Joseph,2-3 inches
71,Maybunga,F. Legaspi St.,Rave,5 inches
72,Sta. Lucia,Riverside,10 St.,4 feet
73,Manggahan,Karangalan,Kaginhawaan St.,2 feet
